accession,organism,taxonomic_group
P00374,Homo sapiens,mammal
A0A6J1XR61,Acinonyx jubatus,mammal
A0AAD8DHW4,Acipenser oxyrinchus oxyrinchus,other vertebrate
A0A7K7P946,Acrocephalus arundinaceus,other vertebrate
A0A836F5B7,Acromyrmex insinuator,invertebrate
P28019,Aedes albopictus,invertebrate
A0A850YL15,Aegithalos caudatus,other vertebrate
A0A7K7K0X6,Agelaius phoeniceus,other vertebrate
A0A7N5JBT4,Ailuropoda melanoleuca,mammal
A0A7L2BU97,Alaudala cheleensis,other vertebrate
A0A7K6YS95,Alca torda,other vertebrate
A0A7K8HDE5,Aleadryas rufinucha,other vertebrate
A0A7L0WNF8,Alectura lathami,other vertebrate
D3FZ31,Alkalihalophilus pseudofirmus (strain ATCC BAA-2126 / JCM 17055 / OF4),bacteria
A0A151PHR9,Alligator mississippiensis,other vertebrate
Q8MW00,Amastigomonas debruynei,other
A0A6A4W6S3,Amphibalanus amphitrite,invertebrate
A0A016UWW2,Ancylostoma ceylanicum,invertebrate
G1KK77,Anolis carolinensis,other vertebrate
A0A8B9EU93,Anser cygnoides,other vertebrate
A0A7K9VMF2,Anseranas semipalmata,other vertebrate
A0A7L2EHW2,Anthoscopus minutus,other vertebrate
A0A7K7CF05,Aphelocoma coerulescens,other vertebrate
A0ABM4G2R9,Apteryx mantelli,other vertebrate
A0A663FA28,Aquila chrysaetos chrysaetos,other vertebrate
A0A7L1TGI4,Aramus guarauna,other vertebrate
A0A4Y2NCC5,Araneus ventricosus,invertebrate
A0ACF8D4J9,Arapaima gigas,other vertebrate
A0A7K8LA59,Ardeotis kori,other vertebrate
A0A7K7LK03,Asarcornis scutulata,other vertebrate
A0A663NAA6,Athene cunicularia,other vertebrate
A0A8J7TCB4,Atractosteus spatula,other vertebrate
A0A852NKH8,Atrichornis clamosus,other vertebrate
A0ABR1FKM6,Aureococcus anophagefferens,other
A0A2I4CT21,Austrofundulus limnaeus,other vertebrate
A0A6J3EDI8,Aythya fuligula,other vertebrate
A0A7L2US57,Balaeniceps rex,other vertebrate
A0A383ZXH6,Balaenoptera acutorostrata,mammal
A0A6P7L9B3,Betta splendens,other vertebrate
A0A6P3J500,Bison bison bison,mammal
A0A7L1MBQ1,Bombycilla garrulus,other vertebrate
A0A4W2DHZ5,Bos indicus x Bos taurus,mammal
P00376,Bos taurus,mammal
A0A7L2VJA2,Brachypteracias leptosomus,other vertebrate
A0A8J9ZDV7,Branchiostoma lanceolatum,invertebrate
A0A4E9FIQ4,Brugia malayi,invertebrate
A0A7K9H9V3,Bucco capensis,other vertebrate
A0A7K4YE83,Bucorvus abyssinicus,other vertebrate
A0A7K4SYF3,Burhinus bistriatus,other vertebrate
Q93341,Caenorhabditis elegans,invertebrate
A0A2G5VJE8,Caenorhabditis nigoni,invertebrate
A0AAV4NFG1,Caerostris extrusa,invertebrate
A0A852AJI2,Calcarius ornatus,other vertebrate
A0A7L4L7P2,Callaeas wilsoni,other vertebrate
F7IFS4,Callithrix jacchus,mammal
A0A4W3HKX9,Callorhinchus milii,other vertebrate
A0A7L3Y6M0,Calonectris borealis,other vertebrate
A0A8B8SLQ7,Camelus ferus,mammal
A0A851MNQ4,Campylorhamphus procurvoides,other vertebrate
A0A8C0QST8,Canis lupus dingo,mammal
A0A452ETU1,Capra hircus,mammal
A0A7K5M911,Cardinalis cardinalis,other vertebrate
A0A1U7SQJ5,Carlito syrichta,mammal
A0A8B7UQR3,Castor canadensis,mammal
A0A7K8MUU5,Casuarius casuarius,other vertebrate
A0A7L2DAM3,Catharus fuscescens,other vertebrate
H0VYF1,Cavia porcellus,mammal
A0A7K4ZWL1,Centropus unirufus,other vertebrate
A0A7L3RH79,Cepphus grylle,other vertebrate
A0A7L1VV30,Certhia brachydactyla,other vertebrate
A0A7L3DV00,Chaetops frenatus,other vertebrate
A0A7K8IQ14,Chaetorhynchus papuensis,other vertebrate
A0A6J2WU31,Chanos chanos,other vertebrate
A0A8C0J393,Chelonoidis abingdonii,other vertebrate
A0A8T1TFS5,Chelydra serpentina,other vertebrate
A0A8C2UYJ1,Chinchilla lanigera,mammal
